split,image,status,K_superpixels,mean_vesselness,fg_seed_px,bg_seed_px,used_maxflow
train,100_A.png,ok,246,0.00000,113559,150283,True
train,101_A.png,ok,219,0.00000,114032,158645,True
train,102_A.png,ok,312,0.00000,114032,155170,True
train,103_A.png,ok,300,0.00000,112176,155944,True
train,104_A.png,ok,324,0.00000,113559,170907,True
train,105_A.png,ok,224,0.00000,105644,147290,True
train,106_A.png,ok,218,0.00000,108081,140397,True
train,107_A.png,ok,249,0.00000,108059,147365,True
train,109_A.png,ok,242,0.00000,102734,134793,True
train,10_A.png,ok,180,0.00000,106957,151889,True
train,110_A.png,ok,299,0.00000,115422,148676,True
train,112_A.png,ok,224,0.00000,103324,155000,True
train,115_A.png,ok,224,0.00000,113103,172277,True
train,116_A.png,ok,223,0.00000,102291,153652,True
train,117_A.png,ok,280,0.00000,113103,159193,True
train,118_A.png,ok,221,0.00000,102734,146561,True
train,119_A.png,ok,281,0.00000,114958,159199,True
train,121_A.png,ok,211,0.00000,108081,166816,True
train,122_A.png,ok,244,0.00000,114032,176175,True
train,123_A.png,ok,207,0.00000,109883,178526,True
train,124_A.png,ok,225,0.00000,89512,151856,True
train,125_A.png,ok,207,0.00000,106947,151841,True
train,126_A.png,ok,223,0.00000,113559,181611,True
train,127_A.png,ok,246,0.00000,113559,153432,True
train,128_A.png,ok,298,0.00000,115890,156223,True
train,129_A.png,ok,248,0.00000,114032,170816,True
train,12_A.png,ok,233,0.00000,111263,146148,True
train,130_A.png,ok,168,0.00000,104502,147537,True
train,131_A.png,ok,224,0.00000,113559,170822,True
train,132_A.png,ok,246,0.00000,111263,150327,True
train,133_A.png,ok,228,0.00000,108081,176955,True
train,134_A.png,ok,225,0.00000,106947,159768,True
train,135_A.png,ok,206,0.00000,108081,159834,True
train,136_A.png,ok,224,0.00000,115890,173788,True
train,137_A.png,ok,224,0.00000,112176,157809,True
train,138_A.png,ok,235,0.00000,104051,140356,True
train,139_A.png,ok,233,0.00000,111719,147724,True
train,13_A.png,ok,229,0.00000,104051,134928,True
train,140_A.png,ok,260,0.00000,114032,162439,True
train,141_A.png,ok,230,0.00000,106886,142955,True
train,142_A.png,ok,227,0.00000,114032,172831,True
train,143_A.png,ok,261,0.00000,114032,141977,True
train,144_A.png,ok,237,0.00000,113103,166067,True
train,145_A.png,ok,234,0.00000,112176,160544,True
train,146_A.png,ok,272,0.00000,112176,152880,True
train,147_A.png,ok,154,0.00000,102734,147504,True
train,148_A.png,ok,160,0.00000,108081,150526,True
train,149_A.png,ok,330,0.00000,114032,133565,True
train,14_A.png,ok,239,0.00000,108081,152295,True
train,150_A.png,ok,196,0.00000,108081,159827,True
train,151_D.png,ok,293,0.00000,114032,147230,True
train,152_D.png,ok,216,0.00000,107628,159158,True
train,153_D.png,ok,216,0.00000,98129,155705,True
train,155_D.png,ok,253,0.00000,115890,151793,True
train,156_D.png,ok,228,0.00000,115422,162599,True
train,157_D.png,ok,177,0.00000,107628,141736,True
train,158_D.png,ok,225,0.00000,111719,141515,True
train,159_D.png,ok,211,0.00000,111263,159285,True
train,15_A.png,ok,229,0.00000,114032,163241,True
train,161_D.png,ok,216,0.00000,108081,149223,True
train,162_D.png,ok,230,0.00000,107939,166100,True
train,163_D.png,ok,252,0.00000,114032,153784,True
train,164_D.png,ok,226,0.00000,113559,171531,True
train,165_D.png,ok,254,0.00000,104952,140020,True
train,166_D.png,ok,210,0.00000,113103,155722,True
train,167_D.png,ok,218,0.00000,108081,145560,True
train,16_A.png,ok,240,0.00000,111720,156714,True
train,170_D.png,ok,213,0.00000,108081,146333,True
train,171_D.png,ok,184,0.00000,108081,154377,True
train,172_D.png,ok,250,0.00000,114032,159705,True
train,173_D.png,ok,239,0.00000,108082,143354,True
train,174_D.png,ok,230,0.00000,104502,144916,True
train,175_D.png,ok,286,0.00000,112176,133961,True
train,177_D.png,ok,229,0.00000,113103,165340,True
train,178_D.png,ok,209,0.00000,107943,163488,True
train,179_D.png,ok,226,0.00000,107939,161909,True
train,17_A.png,ok,182,0.00000,104351,159000,True
train,181_D.png,ok,173,0.00000,103109,144513,True
train,182_D.png,ok,278,0.00000,113559,152293,True
train,183_D.png,ok,211,0.00000,111719,149900,True
train,185_D.png,ok,186,0.00000,100546,147823,True
train,186_D.png,ok,234,0.00000,105826,147300,True
train,187_D.png,ok,206,0.00000,108081,135812,True
train,189_D.png,ok,218,0.00000,104051,151364,True
train,18_A.png,ok,169,0.00000,114032,157147,True
train,190_D.png,ok,210,0.00000,114958,155853,True
train,192_D.png,ok,165,0.00000,102058,148249,True
train,193_D.png,ok,177,0.00000,108081,155992,True
train,194_D.png,ok,229,0.00000,113559,172919,True
train,195_D.png,ok,282,0.00000,113559,174129,True
train,196_D.png,ok,190,0.00000,113559,152175,True
train,198_D.png,ok,197,0.00000,104051,149141,True
train,199_D.png,ok,255,0.00000,113103,158168,True
train,19_A.png,ok,244,0.00000,105388,145576,True
train,1_A.png,ok,197,0.00000,113559,173944,True
train,200_D.png,ok,215,0.00000,108081,153379,True
train,201_D.png,ok,248,0.00000,108081,139751,True
train,202_D.png,ok,231,0.00000,104502,152316,True
train,203_D.png,ok,185,0.00000,114032,157449,True
train,204_D.png,ok,193,0.00000,108081,154105,True
train,206_D.png,ok,191,0.00000,115422,157209,True
train,209_D.png,ok,234,0.00000,108081,143451,True
train,20_A.png,ok,216,0.00000,101637,150755,True
train,210_D.png,ok,225,0.00000,108076,150650,True
train,211_D.png,ok,232,0.00000,107943,150214,True
train,212_D.png,ok,231,0.00000,107943,148427,True
train,213_D.png,ok,233,0.00000,113559,168836,True
train,214_D.png,ok,264,0.00000,111263,175570,True
train,215_D.png,ok,271,0.00000,108081,139971,True
train,216_D.png,ok,219,0.00000,114032,172691,True
train,217_D.png,ok,214,0.00000,108081,152817,True
train,219_D.png,ok,212,0.00000,107628,148385,True
train,220_D.png,ok,246,0.00000,108017,144611,True
train,221_D.png,ok,199,0.00000,113559,153486,True
train,222_D.png,ok,241,0.00000,108081,148051,True
train,223_D.png,ok,239,0.00000,108535,143963,True
train,224_D.png,ok,186,0.00000,108081,155966,True
train,226_D.png,ok,186,0.00000,101311,156760,True
train,228_D.png,ok,232,0.00000,111263,151763,True
train,229_D.png,ok,184,0.00000,115890,176503,True
train,22_A.png,ok,200,0.00000,111719,164700,True
train,230_D.png,ok,213,0.00000,109883,149249,True
train,232_D.png,ok,247,0.00000,107782,144980,True
train,234_D.png,ok,193,0.00000,108081,145097,True
train,235_D.png,ok,184,0.00000,92731,128824,True
train,236_D.png,ok,229,0.00000,104051,149575,True
train,237_D.png,ok,320,0.00000,114032,145058,True
train,238_D.png,ok,206,0.00000,107628,143351,True
train,239_D.png,ok,206,0.00000,105826,139153,True
train,23_A.png,ok,250,0.00000,110355,154570,True
train,240_D.png,ok,248,0.00000,110355,148978,True
train,241_D.png,ok,178,0.00000,108081,153493,True
train,242_D.png,ok,175,0.00000,110355,151374,True
train,243_D.png,ok,229,0.00000,108081,150589,True
train,244_D.png,ok,173,0.00000,108104,151361,True
train,245_D.png,ok,239,0.00000,108081,139619,True
train,246_D.png,ok,235,0.00000,108081,152641,True
train,247_D.png,ok,239,0.00000,104502,145283,True
train,248_D.png,ok,201,0.00000,108081,144935,True
train,249_D.png,ok,237,0.00000,105826,168972,True
train,24_A.png,ok,223,0.00000,108119,153765,True
train,250_D.png,ok,180,0.00000,108081,149078,True
train,251_D.png,ok,197,0.00000,107849,160915,True
train,253_D.png,ok,200,0.00000,105388,142083,True
train,254_D.png,ok,218,0.00000,108082,156694,True
train,257_D.png,ok,177,0.00000,104949,145226,True
